ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
220.128.230.118,220-128-230-118.HINET-IP.hinet.net.,TW,Hsinchu,,,false,1.00,2019-01-03T09:37:23Z,2015-01-10T13:13:46Z
186.216.61.61,186-216-61-61-CORPORATIVO-CLIENTE-48446.metroflex.com.br.,BR,,,,false,1.00,2019-01-03T09:37:22Z,2015-01-10T13:14:00Z
190.57.238.43,,AR,Hasenkamp,,,false,1.00,2019-01-03T09:37:23Z,2015-01-10T13:14:19Z
189.22.145.75,,BR,Tomar do Geru,,,false,1.00,2019-01-03T09:37:24Z,2015-01-10T13:15:53Z
155.133.96.11,155-133-96-11.auto.m2m.net.pl.,PL,Suwałki,dnsmasq-2.62,,false,1.00,2019-01-03T09:37:22Z,2015-01-10T13:16:23Z
89.184.153.25,59B89919.rev.sefiber.dk.,DK,Gram,ZyWALL DNS,,false,1.00,2019-01-03T09:37:22Z,2015-01-10T13:19:45Z
94.100.86.238,,RU,Nizhniy Novgorod,,,false,1.00,2019-01-03T09:37:22Z,2015-01-10T13:20:20Z
210.104.203.3,,KR,,,,false,1.00,2019-01-03T09:37:27Z,2015-01-10T13:23:03Z
210.223.221.238,,KR,,,,false,1.00,2019-01-03T09:37:27Z,2015-01-10T13:24:50Z
211.75.120.34,jc-dns01.jochu.com.tw.,TW,Hsinchu,,,false,1.00,2019-01-03T09:37:25Z,2015-01-10T13:25:04Z
179.60.235.225,5225.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:24Z,2015-01-10T13:25:18Z
94.249.192.20,,DE,,,,false,1.00,2019-01-03T09:37:23Z,2015-01-10T13:25:22Z
193.34.173.206,206-173-34-193.users.novi.uz.ua.,UA,Uzhhorod,,,false,0.98,2019-01-03T09:37:23Z,2015-01-10T13:26:20Z
83.12.155.211,gfz211.internetdsl.tpnet.pl.,PL,Kruszyn,,,false,1.00,2019-01-03T09:37:23Z,2015-01-10T13:26:41Z
211.201.139.2,ns.zungwon.co.kr.,KR,,,,true,0.98,2019-01-03T09:37:32Z,2015-01-10T13:28:11Z
195.138.64.109,optik.tenet.odessa.ua.,UA,Odesa,,,false,1.00,2019-01-03T09:37:24Z,2015-01-10T13:29:59Z
210.113.223.1,,KR,,,,false,1.00,2019-01-03T09:37:32Z,2015-01-10T13:30:38Z
62.251.189.166,ll62-166-189-251-62.ll62.iam.net.ma.,MA,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2019-01-03T09:37:26Z,2015-01-10T13:31:10Z
61.72.206.211,ems.sfac.or.kr.,KR,Seongnam-si,,,false,0.95,2019-01-03T09:37:33Z,2015-01-10T13:34:22Z
180.69.254.143,,KR,Daejeon,,,false,0.98,2019-01-03T09:37:30Z,2015-01-10T13:36:01Z
179.60.235.169,5169.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:27Z,2015-01-10T13:36:50Z
61.194.74.97,miyuki.terahu.to.,JP,Tagawa,,,false,1.00,2019-01-03T09:37:28Z,2015-01-10T13:37:48Z
5.35.2.136,,RU,Mytishchi,,,false,1.00,2019-01-03T09:37:26Z,2015-01-10T13:41:17Z
5.102.52.41,,CZ,Beroun,,,false,1.00,2019-01-03T09:37:26Z,2015-01-10T13:42:02Z
5.102.52.1,,CZ,Beroun,,,false,1.00,2019-01-03T09:37:26Z,2015-01-10T13:43:21Z
200.94.17.243,servidor5.uneve.edu.mx.,MX,Ecatepec de Morelos,,,false,1.00,2019-01-03T09:37:27Z,2015-01-10T13:43:25Z
116.37.105.223,,KR,,dnsmasq-2.33,,false,1.00,2019-01-03T09:37:28Z,2015-01-10T13:43:38Z
59.124.246.91,59-124-246-91.HINET-IP.hinet.net.,TW,Taipei,HyperDNS_1.1,,false,1.00,2019-01-03T09:37:29Z,2015-01-10T13:43:39Z
137.174.153.60,ns.eon-benelux.com.,NL,,,,false,0.98,2019-01-03T09:37:30Z,2015-01-10T13:46:57Z
220.130.154.154,mail.aimpr.com.tw.,TW,Taipei,,,false,1.00,2019-01-03T09:37:30Z,2015-01-10T13:52:10Z
179.60.235.233,5233.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:29Z,2015-01-10T13:54:06Z
90.157.148.113,gw-fw.gostovanje.com.,SI,Izola,dnsmasq-2.76test12,,false,1.00,2019-01-03T09:37:28Z,2015-01-10T13:54:21Z
220.77.228.2,,KR,,,,false,1.00,2019-01-03T09:37:32Z,2015-01-10T13:54:23Z
78.41.171.110,rev-78-41-171-110.radiolan.sk.,SK,,,,false,0.98,2019-01-03T09:37:27Z,2015-01-10T13:56:01Z
179.60.235.145,5145.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:29Z,2015-01-10T13:56:03Z
200.55.19.1,200-55-19-1.static.impsat.net.ar.,AR,Berrotaran,,,false,0.45,2019-01-03T09:37:29Z,2015-01-10T13:56:07Z
37.187.132.39,ns316975.ip-37-187-132.eu.,FR,,9.8.4-rpz2+rl005.12-P1,,true,1.00,2019-01-03T09:37:28Z,2015-01-10T13:56:07Z
91.216.145.11,,BE,,,,false,1.00,2019-01-03T09:37:28Z,2015-01-10T13:56:17Z
81.192.64.22,mail.the-makers.ma.,MA,Tangier,,,false,0.28,2019-01-03T09:37:43Z,2015-01-10T13:56:18Z
85.172.105.6,,RU,Krasnodar,,,false,1.00,2019-01-03T09:37:28Z,2015-01-10T13:56:18Z
82.113.224.113,ns001.bisnet.uk.com.,GB,Portsmouth,PowerDNS Authoritative Server 3.3.1 (jenkins@autotest.powerdns.com built 20131217194128 mockbuild@),,false,1.00,2019-01-03T09:37:28Z,2015-01-10T13:57:08Z
210.234.127.182,dns1.his.ne.jp.,JP,,,,false,1.00,2019-01-03T09:37:34Z,2015-01-10T13:58:49Z
212.77.217.193,dns1.cna-qatar.edu.qa.,QA,Doha,,,false,1.00,2019-01-03T09:37:30Z,2015-01-10T14:00:55Z
59.188.30.70,,HK,,,,false,0.98,2019-01-03T09:37:31Z,2015-01-10T14:03:02Z
195.226.206.15,ns1.portalbn.ro.,RO,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2019-01-03T09:37:29Z,2015-01-10T14:06:44Z
46.32.252.69,703831.vps-10.com.,GB,,,,false,1.00,2019-01-03T09:37:29Z,2015-01-10T14:07:03Z
109.6.124.252,252.124.6.109.rev.sfr.net.,FR,Boulogne-Billancourt,,,false,1.00,2019-01-03T09:37:33Z,2015-01-10T14:08:09Z
82.117.203.86,,RS,Sombor,,,false,0.85,2019-01-03T09:37:29Z,2015-01-10T14:08:23Z
195.112.109.20,20.olymp51.Obninsk.ru.,RU,Obninsk,1.2-try,,false,1.00,2019-01-03T09:37:30Z,2015-01-10T14:08:24Z
149.156.91.132,synology.dak.uj.edu.pl.,PL,,dnsmasq-2.78-144-g41635df,,false,1.00,2019-01-03T09:37:30Z,2015-01-10T14:08:24Z
14.198.28.213,014198028213.ctinets.com.,HK,Central,dnsmasq-2.40,,true,0.92,2019-01-03T09:37:31Z,2015-01-10T14:10:18Z
107.181.60.5,,US,Pompano Beach,dnsmasq-2.33,,false,1.00,2019-01-03T09:37:31Z,2015-01-10T14:11:30Z
85.113.44.178,dynamicip-85-113-44-178.pppoe.samara.ertelecom.ru.,RU,Samara,,,false,1.00,2019-01-03T09:37:33Z,2015-01-10T14:13:28Z
109.164.252.199,199.252.164.109.static.wline.lns.sme.cust.swisscom.ch.,CH,Dubendorf,dnsmasq-2.48,,true,1.00,2019-01-03T09:37:30Z,2015-01-10T14:13:29Z
213.234.8.254,,RU,Volgograd,9.9.9-P4,,false,0.75,2019-01-03T09:37:34Z,2015-01-10T14:13:54Z
109.2.249.30,30.249.2.109.rev.sfr.net.,FR,,3.6.1-1,,false,0.95,2019-01-03T09:37:31Z,2015-01-10T14:14:29Z
222.255.144.122,static.vnpt.vn.,VN,,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2019-01-03T09:37:47Z,2015-01-10T14:14:50Z
211.225.134.196,,KR,,,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:18:21Z
192.116.158.140,ES.RAINBOWMD.COM.,IL,Herzliya,,,false,0.98,2019-01-03T09:37:31Z,2015-01-10T14:20:04Z
192.99.186.19,,CA,Montreal,9.8.2rc1-RedHat-9.8.2-0.47.rc1.el6_8.4,,false,1.00,2019-01-03T09:37:34Z,2015-01-10T14:20:08Z
80.14.75.5,lstlambert-656-1-207-5.w80-14.abo.wanadoo.fr.,FR,Auros,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2019-01-03T09:37:38Z,2015-01-10T14:20:14Z
41.77.13.249,,MW,,,,false,0.95,2019-01-03T09:37:33Z,2015-01-10T14:21:03Z
89.218.174.67,,KZ,,,,false,1.00,2019-01-03T09:37:32Z,2015-01-10T14:23:21Z
175.205.48.117,,KR,Pyeongtaek-si,,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:23:37Z
208.124.166.170,cmr-208-124-166-170.cr.net.cable.rogers.com.,CA,Toronto,,,false,0.65,2019-01-03T09:37:32Z,2015-01-10T14:23:47Z
61.194.50.74,,JP,,,,false,1.00,2019-01-03T09:37:34Z,2015-01-10T14:27:07Z
220.110.154.242,ns01.minten.co.jp.,JP,Bunkyo-ku,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:28:36Z
212.69.76.50,,PL,Jarzebia Laka,,,false,1.00,2019-01-03T09:37:32Z,2015-01-10T14:31:20Z
83.175.153.86,plusbus.pl.,PL,Białystok,,,false,1.00,2019-01-03T09:37:33Z,2015-01-10T14:33:02Z
106.246.235.34,,KR,,dnsmasq-2.45,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:35:18Z
112.166.159.243,,KR,Gongju,,,false,1.00,2019-01-03T09:37:37Z,2015-01-10T14:39:44Z
124.219.39.65,124-219-39-65.vdslpro.static.apol.com.tw.,TW,Hsinchu,dnsmasq-2.40,,true,1.00,2019-01-03T09:37:35Z,2015-01-10T14:40:44Z
121.119.176.161,athp.jp.,JP,,100.100.100,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:40:58Z
91.142.145.210,210.145.142.91.sub.tsl.ru.,RU,Blagoveshchensk,,,true,0.98,2019-01-03T09:37:35Z,2015-01-10T14:42:30Z
200.252.16.136,,BR,,,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:43:04Z
121.128.176.211,,KR,,,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T14:43:51Z
217.128.144.62,lmontsouris-656-1-158-62.w217-128.abo.wanadoo.fr.,FR,,dnsmasq-2.68,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:45:26Z
109.2.249.54,54.249.2.109.rev.sfr.net.,FR,,3.6.1-1,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:46:50Z
46.238.113.138,e113-138.icpnet.pl.,PL,Poznan,,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:47:47Z
77.120.105.20,hasp1.hyperhost.kiev.ua.,UA,,DNS,,false,1.00,2019-01-03T09:37:35Z,2015-01-10T14:47:47Z
180.93.33.17,,VN,Da Nang,dnsmasq-2.33,,true,1.00,2019-01-03T09:37:37Z,2015-01-10T14:49:39Z
1.168.212.198,1-168-212-198.dynamic-ip.hinet.net.,TW,,dnsmasq-2.48,,true,0.08,2019-01-03T09:37:37Z,2015-01-10T14:50:19Z
112.216.159.66,mail.fnctech.com.,KR,Seoul,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2019-01-03T09:37:37Z,2015-01-10T14:50:33Z
179.60.235.201,gw5201.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:37Z,2015-01-10T14:51:43Z
69.70.217.82,modemcable082.217-70-69.static.videotron.ca.,CA,Montreal,dnsmasq-2.45,,true,1.00,2019-01-03T09:37:36Z,2015-01-10T14:52:31Z
179.60.235.253,5253.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:37Z,2015-01-10T14:52:42Z
179.60.235.173,5173.nubenet.com.ar.,AR,Rosario,,,false,1.00,2019-01-03T09:37:37Z,2015-01-10T14:53:17Z
197.232.21.97,,KE,,,,false,0.92,2019-01-03T09:37:38Z,2015-01-10T14:54:22Z
91.229.232.170,,NL,,dnsmasq-2.76,,false,1.00,2019-01-03T09:37:36Z,2015-01-10T14:55:28Z
188.21.14.74,,AT,Vienna,Microsoft DNS 6.1.7600 (1DB04001),,false,1.00,2019-01-03T09:37:36Z,2015-01-10T14:57:44Z
190.154.252.34,34.190-154-252.cue.satnet.net.,EC,,dnsmasq-2.47,,true,1.00,2019-01-03T09:37:38Z,2015-01-10T14:59:59Z
63.217.85.228,63-217-85-228.static.pccwglobal.net.,US,,,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:00:02Z
197.254.1.114,197.254.1.114.acesskenya.net.,KE,,,,false,0.92,2019-01-03T09:37:38Z,2015-01-10T15:01:20Z
91.216.145.29,,BE,,,,false,0.95,2019-01-03T09:37:37Z,2015-01-10T15:04:20Z
41.78.20.21,ns1.rayadatacenter.com.,EG,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:07:01Z
190.149.251.173,173.251.149.190.static.intelnet.net.gt.,GT,Guatemala City,dnsmasq-2.52,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:07:15Z
210.57.215.170,,ID,Surabaya,,,false,0.42,2019-01-03T09:37:40Z,2015-01-10T15:07:47Z
37.220.132.12,remote.leitz.hu.,HU,Budapest,,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:08:10Z
94.23.230.110,srv05.escritadigital.pt.,FR,,Microsoft DNS 6.1.7601 (1DB15EC5),,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:09:14Z
75.149.23.181,75-149-23-181-Pennsylvania.hfc.comcastbusiness.net.,US,Pittsburgh,,,true,0.98,2019-01-03T09:37:50Z,2015-01-10T15:09:26Z
188.21.14.72,mail.novarion.com.,AT,Vienna,,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:10:00Z
111.67.31.240,,AU,Glenroy,,,false,0.88,2019-01-03T09:37:39Z,2015-01-10T15:10:02Z
89.24.113.196,ms.s-bitis.cz.,CZ,Prague,9.8.2rc1-RedHat-9.8.2-0.68.rc1.el6_10.1,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:10:36Z
85.214.43.157,h2338214.stratoserver.net.,DE,Berlin,,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:11:24Z
190.149.251.253,253.251.149.190.static.intelnet.net.gt.,GT,Guatemala City,dnsmasq-2.52,,true,0.90,2019-01-03T09:37:39Z,2015-01-10T15:12:31Z
210.105.203.1,mail.jysolutec.com.,KR,Bucheon-si,,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:12:41Z
87.244.201.1,,SK,Topoľčany,,,false,1.00,2019-01-03T09:37:38Z,2015-01-10T15:14:04Z
92.240.232.232,ns1.lightstorm.sk.,SK,,Served by PowerDNS - http://www.powerdns.com,,true,1.00,2019-01-03T09:37:38Z,2015-01-10T15:15:39Z
210.104.203.2,,KR,,,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:16:25Z
61.58.64.6,dns.tbcnet.net.tw.,TW,Taipei,9.3.3,,false,1.00,2019-01-03T09:37:41Z,2015-01-10T15:16:53Z
200.68.18.204,,CL,Santiago,,,false,0.98,2019-01-03T09:37:40Z,2015-01-10T15:17:33Z
84.45.105.74,,GB,Portsmouth,ZyWALL DNS,,false,0.30,2019-01-03T09:37:39Z,2015-01-10T15:17:45Z
77.120.105.10,10.105.120.77.colo.static.dcvolia.com.,UA,,9.3.5,,false,0.98,2019-01-03T09:37:39Z,2015-01-10T15:18:50Z
196.22.196.14,ns2.zadns.net.,ZA,Durban,Storm Internet Name Servers,,false,1.00,2019-01-03T09:37:40Z,2015-01-10T15:19:00Z
217.69.210.242,mail.svsrv.ru.,RU,Moscow,,,false,1.00,2019-01-03T09:37:39Z,2015-01-10T15:19:14Z
31.205.81.157,ip-31-205-81-157.ask4internet.com.,GB,Southampton,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2019-01-03T09:37:39Z,2015-01-10T15:19:14Z
186.68.74.74,74.cpe-186-68-74.gye.satnet.net.,EC,Guayaquil,,,false,0.85,2019-01-03T09:37:41Z,2015-01-10T15:19:33Z
195.88.115.249,host-195-88-115-249.hypernet.biz.pl.,PL,Bienkowka,,,false,1.00,2019-01-03T09:37:39Z,2015-01-10T15:20:33Z
83.170.194.232,abukr.lv.sovam.net.ua.,UA,Lviv,x.x.x,,false,0.60,2019-01-03T09:37:40Z,2015-01-10T15:21:12Z
82.117.197.126,,RS,Belgrade,,,false,1.00,2019-01-03T09:37:39Z,2015-01-10T15:22:23Z
62.72.72.222,name1.bgweb.de.,DE,,Microsoft DNS 6.1.7601 (1DB14A66),,false,0.92,2019-01-03T09:37:39Z,2015-01-10T15:23:39Z
81.18.72.21,,RO,,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2019-01-03T09:37:40Z,2015-01-10T15:25:11Z
208.89.113.142,208-89-113-142.arsalon.net.,US,Pell City,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2019-01-03T09:37:40Z,2015-01-10T15:26:31Z
46.180.147.174,46-180-147-174.goodline.info.,RU,Kemerovo,,,false,1.00,2019-01-03T09:37:41Z,2015-01-10T15:28:55Z
63.217.85.227,63-217-85-227.static.pccwglobal.net.,US,,,,false,1.00,2019-01-03T09:37:44Z,2015-01-10T15:28:56Z
189.206.255.206,static-189-206-255-206.alestra.net.mx.,MX,Ixtlahuaca,,,false,1.00,2019-01-03T09:37:41Z,2015-01-10T15:29:38Z
79.188.225.250,iqtechnology.pl.,PL,,,,false,1.00,2019-01-03T09:37:41Z,2015-01-10T15:30:16Z
1.221.66.180,,KR,Seoul,,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:30:26Z
195.226.206.16,,RO,,Microsoft DNS 6.1.7600 (1DB04228),,false,0.98,2019-01-03T09:37:41Z,2015-01-10T15:30:55Z
46.171.32.54,pbg54.internetdsl.tpnet.pl.,PL,Ochotnica Dolna,,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:31:17Z
213.91.139.11,213-91-139-11.ip.btc-net.bg.,BG,Sofia,,,false,1.00,2019-01-03T09:37:41Z,2015-01-10T15:31:25Z
212.175.132.120,212.175.132.120.static.ttnet.com.tr.,TR,Antalya,Microsoft DNS 6.0.6002 (1772487D),,false,0.98,2019-01-03T09:37:46Z,2015-01-10T15:32:31Z
216.81.128.160,nscache1.dsm.lightedge.com.,US,Des Moines,PowerDNS Recursor 3.2 $Id: pdns_recursor.cc 1538 2010-03-06 11:39:03Z ahu $,,false,1.00,2019-01-03T09:37:42Z,2015-01-10T15:34:34Z
80.149.83.60,,DE,Niedernberg,,,false,1.00,2019-01-03T09:37:41Z,2015-01-10T15:34:42Z
217.58.145.81,host81-145-static.58-217-b.business.telecomitalia.it.,IT,Monsummano Terme,,,false,0.88,2019-01-03T09:37:42Z,2015-01-10T15:35:25Z
65.205.115.132,node132.115.205.65.,US,,Microsoft DNS 6.0.6002 (17725FAC),,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:36:09Z
92.36.225.9,,BA,Sarajevo,,,false,1.00,2019-01-03T09:37:42Z,2015-01-10T15:39:18Z
220.134.65.180,220-134-65-180.HINET-IP.hinet.net.,TW,Taichung,,,false,1.00,2019-01-03T09:37:44Z,2015-01-10T15:40:13Z
50.192.244.107,smtp.gba-inc.com.,US,Berkeley Heights,,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:43:02Z
201.247.40.166,,SV,San Salvador,dnsmasq-2.52,,true,1.00,2019-01-03T09:37:43Z,2015-01-10T15:43:47Z
117.56.76.34,117-56-76-34.HINET-IP.hinet.net.,TW,Taipei,,,false,1.00,2019-01-03T09:37:45Z,2015-01-10T15:45:14Z
190.30.253.147,,AR,Santiago del Estero,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2019-01-03T09:37:44Z,2015-01-10T15:46:20Z
201.76.162.156,mvx-201-76-162-156.mundivox.com.,BR,Rio de Janeiro,,,false,1.00,2019-01-03T09:37:44Z,2015-01-10T15:46:41Z
121.163.176.239,,KR,Guri-si,,,true,1.00,2019-01-03T09:37:47Z,2015-01-10T15:46:44Z
109.2.249.42,42.249.2.109.rev.sfr.net.,FR,,3.6.1-1,,false,0.98,2019-01-03T09:37:43Z,2015-01-10T15:47:26Z
195.70.114.137,195-70-114-137.stat.salzburg-online.at.,AT,,,,false,1.00,2019-01-03T09:37:43Z,2015-01-10T15:48:25Z
